الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
سيرة أنثى مملة,ماري - رينيه لافوا,2021,الدار العربية للعلوم ناشرون,روايات,"دايان ديلونيه امرأة في عقدها الرابع، يتهاوى عالمها فجأة عندما يتخلّى عنها زوجها قبل بضعة أيّام من احتفالهما بالذكرى السنوية الخامسة والعشرين لزواجهما، ليعيش علاقة حبّ مع ""شخص آخر""، أصغر سنّاً بلا شك. بداية عاديّة إلى حدّ ما بالنسبة إلى رواية مدهشة للغاية، تشكّل منعطفاً جديداً في أعمال المؤلّفة، التي",19
حصاد القلوب المفطورة,تيس ستيمسون,2021,الدار العربية للعلوم ناشرون,روايات,"إنه حفل عائلي، دعت إليه سيليا طليق ابنتها أندرو وزوجته، اعتراضات كثيرة رافقت الدعوى، ولكن أندرو حضر، وعُثر عليه مضرجاً بدمائه وإلى جانبه زوجته وطليقته.هل إحداهما هي القاتلة؟منذ أربع سنوات انفصل أندرو عن لويز، وترافق ذلك مع حملها، وارتبط بكارولين التي كانت حاملاً. لم ترد الطليقة التخلي عن طليقها",18
"الصيد، والجمع والتنشئة",مايكلين دوكلف,2021,الدار العربية للعلوم ناشرون,تربية,"في هذا الكتاب تعرض دوكليف قصة سفرها مع ابنتها البالغة من العمر ثلاث سنوات لتعلُّم استراتيجيات الأبوة والأمومة من العائلات في ثلاثة من أكثر المجتمعات احتراماً في العالم: أُسر المايا في المكسيك، وعائلات الإنويت في القطب الشمالي، وعائلات الهازداب في تنزانيا؛ حيث تبين لها أن هذه الثقافات لا تعاني من الم",11
اختيار الحياة,أرنولد توينبي,2021,الدار العربية للعلوم ناشرون,تاريخ,"في كتاب ""اختيار الحياة"" يتحاور أرنولد توينبي مع دايساكو إيكيدا في حوار شيق وعميق، فالأول مؤرخ كبير ومؤلف موسوعة دراسة للتاريخ المؤلَفة من اثني عشر مجلداً، وهو عمل يمتلك منظوراً عالمياً لصعود الحضارات وسقوطها بدلاً من أن يركز على تاريخ الدول القومية أو المجموعات العرقية، أما الثاني فهو شخصية ذات مكان",12
السقوط المدوي,جوزيف ستيجليتز,2021,الدار العربية للعلوم ناشرون,اقتصاد,"يشكل كتاب السقوط المدوي سردية اقتصادية رائعة، تحمل في طياتها المعلومة والتحليل العميق والتفسير الرصين، إضافة الى أن هذا الكتاب يمثل ساحة صراع فكري في السياسات الفاشلة التي أنتجت الأزمة المالية والإقتصادية التي اندلعت في الولايات المتحدة عام 2008 وعصفت بالاقتصاد الامريكي اولاً وجرفت معها دول العالم ل",192
رحلة ترسيخ العقول نحو..,ريك هانسن,2021,الدار العربية للعلوم ناشرون,تنمية ذاتية,"منذ فجر التاريخ والإنسان يسعى إلى بلوغ أقصى إمكاناته، فقد سعى البشر وراء الحكمة، والقوة، والسعادة، والظفر بمحبة الآخرين، والآن تمكن العلم الحديث من إقامة الرابط بأن هذه الحالات الرائعة التي يحظى بها البعض وترتبط إرتباطاً وثيقاً بتغييرات في نظامنا العصبي، مما يجعل من إمكانية بلوغها أكثر من أي وقت مضى",183
قائمة القراءة,سارة آدامز,2021,الدار العربية للعلوم ناشرون,روايات,"يعيش الأرمل موكيش حياة هادئة وربما مملة بعد أن توفيت زوجته نينا، فهو يتسوق كل أربعاء، ويذهب إلى دار العبادة، ويخشى على حفيدته بريا، التي تكرّس نفسها للقراءة بينما يشاهد هو برنامج ديفيد أتينبورو.بالمقابل تعمل أليشا في المكتبة المحلية على طريق هارو في الصيف، وفي أثناء عملها تعثر على قطعة ورق في الجز",239
دليلي إلى المشاعر والا..,شيارا بيرودي,2021,الدار العربية للعلوم ناشرون,كتب وموسوعات للأطفال,"صحيح أن لكل فرد شخصيته الخاصة، ولكن يجب على الجميع التعرف إلى هذه المشاعر التي يشتركون بها وإبقاءها تحت السيطرة.في هذا الكتاب، سترافق الأطفال أبيغل اللطيفة التي ستخبرهم كيف ساعدها ""الخوف"" ذات مرة على الاستيقاظ من كابوس مزعج، وكيف أنقذها ""الاشمئزاز"" من طعم ثمار فاكهة مرة غير ناضجة، وستخبرهم أيضاً ع",280
"أقل توتراً، أكثر إنجاز..",إميلي فليتشر,2021,الدار العربية للعلوم ناشرون,تنمية ذاتية,"في حياتنا الملأى بالتوتر والإرهاق، يتبادر لأذهاننا أن تحقيق المزيد من الإنجاز يكمن في القيام بالمزيد من الأمور، بَيد أن أفضل ما يمكن أن يعود بالنفع علينا هو أخذ استراحة عقلية – استثمار بضع دقائق من يومنا في منح الراحة لجسدنا ودماغنا. هل تعلم أنه يمكن لتأمل وجيز أن يوفّر لك راحة أعمق بخمس مرات من الن",200
أربعة آلاف أسبوع,أوليفر بوركمان,2021,الدار العربية للعلوم ناشرون,تنمية ذاتية,"الوقت يمثل أكبر مخاوفنا، فليس هناك سوى القليل منه.الكل يعلم أن الوقت لا يكفي. كلنا مهووس بقوائم مهامنا الطويلة، وبريدنا الممتلئ ونضالنا ضد المشتتات وأحساسنا بتضاؤل فترة انتباهنا، ومع ذلك نادراً ما نربط بين معاناتنا اليومية مع الوقت والمشكلة الأساسية لإدارة الوقت.أربعة ألاف اسبوع، كتاب يستكشف الت",208
