الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
كيفما اتفق,جوان ديديون,2021,المدى للنشر والتوزيع,روايات,"لا ينفكُّ كُلُّ إنسانٍ، في هذه الحياة، يُصارعُ أمواجَ بحرِ أسئلتِها طيلةَ عُمُره، فإمّا أن يقهَرَها ويُلهَمَ الأجوِبَةَ الشّافيةَ فيَصِلَ أخيراً إلى برِّ الأمانِ، وإمّا أن تستهلِكَهُ الأسئلةُ وتفِرَّ منهُ أجوِبَتُها فينتهي بهِ الحالُ مُحطّماً فوقَ صخورِ الشاطئ. غيرَ أنَّ بطلةَ هذه القصّة، ماريا وايث",60
كل شيء انا لا اتذكره,يونس حسن خميري,2021,المدى للنشر والتوزيع,روايات,"ثم كرّس عشر دقائق للحديث عن المغول. قال إن ما يصل إلى صفر فاصلة خمسة بالمئة من الرجال في العالم يحملون البصمة الوراثية الصرفة لجنكيزخان، لأنه مارس الجنس بوحشية مغتصباً الكثير والكثير من الفتيات. قال إن إمبراطورية جنكيز خان كانت الأكبر في تاريخ العالم، وإن المغول قتلوا من الناس قرابة أربعين مليون نفس",184
حبة بغداد,جمال حسين علي,2021,المدى للنشر والتوزيع,روايات,"يواصل الروائي جمال حسين علي سرد فصول ""الملحمة العراقية"" التي بدأها في رواية ""أموات بغداد"" (دار الفارابي - 2008)، بعد أن شكّل الكائن العراقي الجديد من أشلاء القتلى، واختار بروفيسور الجينات والاستنساخ العائد من موسكو، أجزاء هذا الكيان من كلّ منطقة عراقية. وقام هذا الكائن في روايته التالية ""رسائل أمارج",318
حالة عجب,آن باتشيت,2021,المدى للنشر والتوزيع,روايات,"بدا لمارينا وقد أصبحت في الأمازون الآن أن ثمة أسباباً لا حصر لها يمكن أن تقتل المرء دون تحديد الملام، عدا ربما ذلك اللوم الملقى على السيد فوكس. «لم يخطر لي قط أنه خطؤها». شعرت باربارا بارتياح عظيم لهذا الكلام. «إنني في منتهى السعادة!» قالت. «عندما تفهمين آنيك ستعرفين مدى فرادتها. كنت أفكر لعلك بعيدة",320
جيني المجنونة,إينيس كانياتي,2021,المدى للنشر والتوزيع,روايات,"كانت تقصد المزارع تساعد في أعمالها. في الخريف، كانت تعمل في تحطيب عيدان الشجر وأخشابها، تحزمها في ربطات. في عطلة الخميس، كنت أرافقها. ألتقط الأغصان الصغيرة، وأضعها في الكومة. كنا وحيدتين. عند الظهيرة، كانت توقد نارا صغيرة. كثيرا ما أسترجع ذكرى خريف الغابات، النار، البرد، ذكراها وأنا برفقتها في الغاب",344
انا خارج البيت,نارين ديركي,2021,المدى للنشر والتوزيع,شعر,لاهثة دائماً حين عودتي هذه المرة أيضاً ضيّعتُ اليابسة,828
النوم بعين واحدة مفتوح..,مارك ستراند,2021,منشورات المتوسط,شعر,"في تقديمه للكتاب يتحدث سامر أبو هواش في ما يميز شعر مارك ستراند فيقول: ""ولعل علاقة ستراند الوثيقة بالفنّ التشكيلي (بدأ حياته الفنّيّة كرسّام، ودرس الرَّسْم لفترة، قبل أن ينتقل إلى الشِّعْر)، تُشكِّل عنصراً حاسماً في بناء القصيدة لديه، حيثُ نشعر أن الكثير من قصائده يُولَد من مشهد خارجي، يقود إلى العا",101
قريناتي,مها حسن,2021,منشورات المتوسط,روايات,"رواية للروائيّة السوريّة المقيمة في فرنسا مها حسن، بعنوان ""قريناتي"". وهي كما قالت مها روايةٌ تغوصُ في العوالم الروحانية للنساء، وتقاطع الأمزجة والتكوينات النفسية لدى نساءٍ من مختلف الانتماءات الجغرافية والإثنينة. وستكون الرواية موجودة في معرض القاهرة الدولي للكتاب بعد أيام.""قريناتي"" روايةٌ عن ثلاث",118
في الطريق إلى برلين,يوسف وقاص,2021,منشورات المتوسط,روايات,"يقودُ ميلاد بن كنعان، وهو شخصيةٌ مصابةٌ بازدواجية حادّة، قافلةً من لاجئي الحرب نحو ألمانيا. مسيرةٌ غرائبيَّةٌ لواقعٍ هلاميٍّ يصعبُ إدراكه، وتتجلّى من خلالهِ جذور كلّ تلك الوحشية التي دفعته هو ومئات الآلاف من الأشخاص لمبارحة أرضهم والبحث عن مأوى في بلدان أخرى. إنَّهُ السيناريو المريع الذي يتأرجح بين",116
من خشب وطين,محمد الأشعري,2021,منشورات المتوسط,روايات,"إبراهيم، رجلٌ يقرِّر في لحظةٍ ما، تغييرَ مسارهِ البديهيِّ في الحياة، كما هو مرسومٌ مُسبقاً للجمُوع. يتخلَّى عن وظيفته المرموقة في البنك، يتركُ المدينةَ، يُطلِّق زوجته التي هي أيضاً زميلة عمله، ويلجأ إلى مكان هادئ بجوار غابةِ المعمورة في المغرب. هناك حيثُ يعتني بتربيةِ النَّحل، سيلتقي بقُنْفُذٍ مُصاب",372
